Nutrient/Item (unit),Year,Reg_Prov,Sex,Age (years),n,Mean,SE_Mean,P5,P5_SE,P10,P10_SE,P25,P25_SE,P50,P50_SE,P75,P75_SE,P90,P90_SE,P95,P95_SE,EAR,% <EAR,%<EAR_SE,p-value_%EAR,Both,Male,Female,AI,% >AI,%>AI_SE,p-value_%AI,UL,% >UL,%>UL_SE,AMDR,% below AMDR,% below AMDR_SE,% within AMDR,% within AMDR_SE,p-value  % within AMDR,% above AMDR,% above AMDR_SE,p-value % below AMDR,p-value % above AMDR,CDRR,% >CDRR,%>CDRR_SE,p-value_%CDRR,%Inadequacy,%Inadequacy_SE,p_value %Inadequacy,%  above AMDR_SE,p-value_%UL
Percentage of total energy intake from monounsaturated fats,2015,Prairie Region,Female,19 years and over,1615,12,0.1,8.7,0.2,9.4,0.2,10.6,0.2,11.9,0.1,13.4,0.2,14.7,0.2,15.6,0.3,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from monounsaturated fats,2004,Prairie Region,Both,1-3,622,10.2,0.2,7,0.5,7.6,0.4,8.8,0.3,10.1,0.2,11.5,0.2,12.7,0.3,13.5,0.3,,,,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from monounsaturated fats,2004,Prairie Region,Both,4-8,919,11.3,0.2,9.1,0.3,9.5,0.3,10.4,0.2,11.3,0.2,12.3,0.2,13.2,0.3,13.8,0.4,,,,,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from monounsaturated fats,2004,Prairie Region,Male,9-13,579,12.2,0.2,9.7,0.3,10.2,0.3,11.1,0.2,12.2,0.2,13.3,0.3,14.3,0.4,14.9,0.5,,,,,,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from monounsaturated fats,2004,Prairie Region,Female,9-13,533,11.2,0.2,9.3,0.8,9.7,0.6,10.4,0.4,11.2,0.3,12,0.3,12.8,0.6,13.2,0.8,,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from monounsaturated fats,2004,Prairie Region,Male,14-18,634,12.6,0.2,9.8,0.5,10.3,0.4,11.4,0.3,12.6,0.3,13.8,0.3,15,0.4,15.7,0.5,,,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from monounsaturated fats,2004,Prairie Region,Female,14-18,638,12.3,0.2,10.1,0.9,10.6,0.7,11.4,0.4,12.3,0.2,13.3,0.4,14.2,0.7,14.7,0.9,,,,,,,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from monounsaturated fats,2004,Prairie Region,Male,19-30,578,12.4,0.3,8.7,0.7,9.5,0.6,10.8,0.4,12.3,0.3,13.9,0.4,15.4,0.5,16.3,0.6,,,,,,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from monounsaturated fats,2004,Prairie Region,Female,19-30,499,12.2,0.3,9.2,0.6,9.9,0.5,11,0.4,12.2,0.3,13.5,0.4,14.7,0.7,15.4,0.8,,,,,,,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from monounsaturated fats,2004,Prairie Region,Male,31-50,693,13.1,0.3,9.3,0.5,10.1,0.5,11.4,0.4,13,0.3,14.6,0.4,16.2,0.6,17.1,0.7,,,,,,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from monounsaturated fats,2004,Prairie Region,Female,31-50,716,12.8,0.2,9.7,0.5,10.4,0.5,11.4,0.3,12.7,0.2,14,0.3,15.3,0.5,16,0.6,,,,,,,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from monounsaturated fats,2004,Prairie Region,Male,51-70,596,12.3,0.3,8.4,0.5,9.2,0.4,10.6,0.3,12.2,0.3,13.9,0.3,15.5,0.4,16.5,0.4,,,,,,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from monounsaturated fats,2004,Prairie Region,Female,51-70,745,12.7,0.3,8.7,0.4,9.6,0.4,11,0.3,12.6,0.3,14.4,0.3,16.1,0.4,17.1,0.4,,,,,,,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from monounsaturated fats,2004,Prairie Region,Male,71 years and over,296,12.7,0.3,9.2,0.5,9.9,0.4,11.1,0.4,12.6,0.3,14.1,0.4,15.6,0.5,16.6,0.6,,,,,,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from monounsaturated fats,2004,Prairie Region,Female,71 years and over,510,11.6,0.2,8.6,0.4,9.2,0.3,10.3,0.2,11.6,0.2,12.9,0.3,14.1,0.4,14.9,0.4,,,,,,,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from monounsaturated fats,2004,Prairie Region,Male,19 years and over,2163,12.7,0.2,8.9,0.3,9.7,0.3,11,0.2,12.6,0.2,14.2,0.2,15.8,0.3,16.7,0.3,,,,,,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from monounsaturated fats,2004,Prairie Region,Female,19 years and over,2470,12.5,0.1,9.2,0.2,9.9,0.2,11,0.2,12.5,0.1,13.9,0.2,15.3,0.2,16.2,0.3,,,,,,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Canada excluding territories,Both,1-3,1288,25.2,0.4,15.6,0.8,17.5,0.7,21,0.5,25,0.4,29.1,0.5,33,0.7,35.5,0.9,,,,,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Canada excluding territories,Both,4-8,1199,25.3,0.4,17.8,0.8,19.4,0.7,22,0.5,25.1,0.4,28.4,0.5,31.4,0.7,33.3,0.8,,,,,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Canada excluding territories,Male,9-13,1023,23,0.3,16.3,0.7,17.7,0.6,20.1,0.4,22.8,0.3,25.8,0.4,28.5,0.7,30.2,0.8,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Canada excluding territories,Female,9-13,939,24.2,0.5,18.5,1.3,19.7,1.1,21.7,0.7,24,0.5,26.5,0.7,28.8,1,30.3,1.3,,,,,,,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Canada excluding territories,Male,14-18,900,21.6,0.5,13.4,0.7,15,0.6,17.9,0.5,21.3,0.5,24.9,0.6,28.4,0.8,30.7,1,,,,,,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Canada excluding territories,Female,14-18,986,22.7,0.5,16.5,1.3,17.8,1.1,20,0.7,22.6,0.5,25.2,0.7,27.7,1.1,29.2,1.4,,,,,,,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Canada excluding territories,Male,19-30,857,18,0.5,10.3,0.8,11.8,0.7,14.4,0.6,17.7,0.5,21.3,0.7,24.8,1,27.1,1.3,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Canada excluding territories,Female,19-30,872,20.7,0.6,13.4,1.2,14.8,1.1,17.3,0.8,20.4,0.6,23.7,0.7,26.8,1.1,28.8,1.3,,,,,,,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Canada excluding territories,Male,31-50,2005,17.9,0.4,9.7,0.8,11.2,0.7,13.9,0.5,17.4,0.4,21.3,0.5,25.2,0.9,27.8,1.2,,,,,,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Canada excluding territories,Female,31-50,2207,18.9,0.3,9.8,0.5,11.5,0.4,14.5,0.4,18.3,0.3,22.7,0.4,27.1,0.6,29.9,0.8,,,,,,,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Canada excluding territories,Male,51-70,2151,17.4,0.3,8.7,0.4,10.3,0.4,13.2,0.3,16.9,0.3,21.1,0.4,25.2,0.6,27.9,0.8,,,,,,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Canada excluding territories,Female,51-70,2314,19.3,0.3,11.3,0.6,12.8,0.5,15.5,0.4,18.9,0.3,22.6,0.4,26.2,0.6,28.5,0.7,,,,,,,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Canada excluding territories,Male,71 years and over,1180,19.4,0.4,9.9,0.5,11.7,0.5,15,0.4,19,0.4,23.4,0.5,27.7,0.8,30.5,0.9,,,,,,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Canada excluding territories,Female,71 years and over,1448,20.1,0.4,11.9,0.5,13.5,0.4,16.3,0.4,19.8,0.3,23.6,0.5,27.2,0.7,29.5,0.8,,,,,,,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Canada excluding territories,Male,19 years and over,6193,17.9,0.2,9.3,0.3,10.8,0.3,13.8,0.2,17.4,0.2,21.5,0.3,25.6,0.4,28.2,0.5,,,,,,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Canada excluding territories,Female,19 years and over,6841,19.5,0.2,11.1,0.3,12.7,0.3,15.5,0.2,19,0.2,22.9,0.2,26.8,0.3,29.3,0.4,,,,,,,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Canada excluding territories,Both,1-3,2117,26.8,0.4,17.1,0.8,19,0.7,22.5,0.5,26.6,0.4,30.9,0.5,34.9,0.7,37.3,0.9,,,,,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Canada excluding territories,Both,4-8,3235,25.7,0.3,18.2,0.8,19.8,0.6,22.4,0.4,25.5,0.3,28.9,0.4,31.9,0.6,33.9,0.8,,,,,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Canada excluding territories,Male,9-13,2080,24.8,0.3,17.9,0.7,19.3,0.6,21.8,0.4,24.7,0.3,27.7,0.4,30.5,0.6,32.2,0.8,,,,,,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Canada excluding territories,Female,9-13,1980,25.3,0.4,19.5,1.3,20.7,1,22.7,0.7,25.1,0.4,27.6,0.6,30.1,1,31.5,1.3,,,,,,,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Canada excluding territories,Male,14-18,2288,23.8,0.3,15.2,0.7,16.9,0.6,19.9,0.4,23.5,0.3,27.3,0.4,31,0.7,33.2,0.9,,,,,,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Canada excluding territories,Female,14-18,2256,24,0.3,17.8,1.3,19.1,1.1,21.3,0.6,23.9,0.3,26.6,0.6,29.1,1.1,30.7,1.4,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Canada excluding territories,Male,19-30,1804,20.3,0.4,12,0.9,13.6,0.8,16.4,0.6,19.9,0.4,23.8,0.5,27.6,0.9,30,1.1,,,,,,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Canada excluding territories,Female,19-30,1854,22.5,0.4,14.9,1.1,16.4,1,19,0.7,22.2,0.4,25.6,0.6,28.9,1.1,30.9,1.4,,,,,,,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Canada excluding territories,Male,31-50,2596,18.3,0.4,10,0.8,11.5,0.7,14.3,0.5,17.9,0.4,21.8,0.5,25.8,0.9,28.3,1.2,,,,,,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Canada excluding territories,Female,31-50,2686,19.7,0.4,10.4,0.5,12,0.5,15.2,0.4,19.1,0.4,23.6,0.5,28.1,0.7,31,0.9,,,,,,,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Canada excluding territories,Male,51-70,2550,18.4,0.3,9.4,0.5,11,0.4,14,0.4,17.8,0.3,22.2,0.4,26.5,0.6,29.2,0.7,,,,,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Canada excluding territories,Female,51-70,3200,20,0.3,11.8,0.5,13.4,0.5,16.2,0.4,19.7,0.3,23.4,0.4,27.1,0.6,29.4,0.7,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Canada excluding territories,Male,71 years and over,1520,19.3,0.4,9.8,0.5,11.6,0.5,14.8,0.4,18.9,0.4,23.3,0.5,27.5,0.7,30.3,0.8,,,,,,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Canada excluding territories,Female,71 years and over,2610,21.5,0.3,13.1,0.5,14.6,0.5,17.6,0.4,21.1,0.3,25,0.4,28.8,0.6,31.1,0.8,,,,,,,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Canada excluding territories,Male,19 years and over,8470,18.9,0.2,9.9,0.3,11.6,0.3,14.6,0.3,18.4,0.2,22.6,0.3,26.8,0.4,29.4,0.5,,,,,,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Canada excluding territories,Female,19 years and over,10350,20.5,0.2,11.9,0.3,13.5,0.3,16.5,0.3,20.1,0.2,24.1,0.3,28,0.4,30.5,0.5,,,,,,,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Newfoundland and Labrador,Both,1-3,75,26,1,16.6,1.1,18.5,1.1,21.8,1,25.7,1,30,1.1,33.7,1.2,36.2,1.3,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Newfoundland and Labrador,Both,4-8,76,26.2,0.7,18.7,0.9,20.4,0.9,23,0.7,26,0.7,29.3,0.8,32.1,1,34.2,1.1,,,,,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Newfoundland and Labrador,Male,9-13,73,24.5,0.8,17.9,1,19.3,0.9,21.6,0.8,24.3,0.8,27.2,0.9,29.7,1.1,31.5,1.2,,,,,,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Newfoundland and Labrador,Female,9-13,71,23.3,1,17.7,1.7,18.8,1.5,20.9,1.2,23.2,1,25.6,1.2,27.8,1.5,29.3,1.8,,,,,,,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Newfoundland and Labrador,Male,14-18,67,23.5,1.1,15.1,1.1,16.8,1.1,19.7,1.1,23.3,1.1,27,1.2,30.4,1.3,32.9,1.5,,,,,,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Newfoundland and Labrador,Female,14-18,62,22.1,0.8,16.2,1.5,17.3,1.3,19.6,1,22,0.8,24.4,1,26.9,1.5,28.4,1.8,,,,,,,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Newfoundland and Labrador,Male,19-30,35,19.3,1.1,11.7,1.1,12.8,1.1,15.4,1.1,18.9,1.1,22.6,1.3,26.1,1.7,28.4,2,,,,,,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Newfoundland and Labrador,Female,19-30,51,19.2,1.5,12.2,1.9,13.6,1.7,15.9,1.6,18.9,1.6,22.1,1.6,25.2,1.9,27.1,2.1,,,,,,,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Newfoundland and Labrador,Male,31-50,119,20.3,0.8,11.4,1.1,13.1,1,16.1,0.9,19.8,0.8,24,1,28.1,1.3,30.8,1.5,,,,,,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Newfoundland and Labrador,Female,31-50,127,17.6,0.8,9.1,0.7,10.6,0.7,13.2,0.7,17,0.8,21.2,0.9,25.2,1.1,28.3,1.2,,,,,,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Newfoundland and Labrador,Male,51-70,150,17,0.9,8.3,0.7,10,0.8,12.8,0.8,16.5,1,20.6,1.1,24.7,1.3,27.6,1.5,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Newfoundland and Labrador,Female,51-70,161,18.8,0.7,10.9,0.8,12.4,0.7,15.1,0.7,18.4,0.7,22.1,0.8,25.6,0.9,27.9,1.1,,,,,,,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Newfoundland and Labrador,Male,71 years and over,96,19.9,1,10.3,0.8,12.1,0.9,15.4,0.9,19.5,1,23.9,1.1,28.2,1.3,31,1.5,,,,,,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Newfoundland and Labrador,Female,71 years and over,87,21.5,0.9,12.9,0.8,14.7,0.8,17.6,0.8,21.2,0.9,25,1,28.6,1.2,31.2,1.3,,,,,,,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Newfoundland and Labrador,Male,19 years and over,400,18.8,0.5,10,0.5,11.7,0.5,14.6,0.5,18.2,0.5,22.5,0.6,26.7,0.7,29.3,0.8,,,,,,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Newfoundland and Labrador,Female,19 years and over,426,18.6,0.5,10.5,0.5,12.1,0.4,14.8,0.4,18.2,0.5,21.9,0.5,25.8,0.6,28.2,0.7,,,,,,,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Newfoundland and Labrador,Both,1-3,79,27.6,1,17.8,1.2,19.8,1.2,23.3,1.1,27.3,1,31.7,1.1,35.7,1.2,38,1.3,,,,,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Newfoundland and Labrador,Both,4-8,127,26.6,0.7,18.9,0.9,20.6,0.8,23.4,0.7,26.4,0.7,29.7,0.8,32.9,1,34.8,1.1,,,,,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Newfoundland and Labrador,Male,9-13,111,26.2,0.8,19.3,1,20.7,0.9,23.2,0.8,26,0.8,29,0.9,31.7,1.1,33.4,1.2,,,,,,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Newfoundland and Labrador,Female,9-13,96,24.3,1.1,18.7,1.8,19.9,1.6,21.9,1.3,24.2,1.1,26.6,1.2,28.9,1.5,30.3,1.8,,,,,,,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Newfoundland and Labrador,Male,14-18,107,25.6,1.1,16.7,1.3,18.5,1.3,21.7,1.2,25.3,1.2,29.3,1.2,33.1,1.4,35.3,1.5,,,,,,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Newfoundland and Labrador,Female,14-18,105,23.5,0.8,17.4,1.5,18.6,1.3,20.9,1,23.3,0.8,26,1.1,28.4,1.5,29.9,1.8,,,,,,,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Newfoundland and Labrador,Male,19-30,77,21.6,1.1,13,1.3,14.7,1.2,17.7,1.1,21.2,1.1,25.1,1.2,28.8,1.5,31.3,1.8,,,,,,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Newfoundland and Labrador,Female,19-30,91,20.7,1.5,13.5,1.8,14.9,1.7,17.5,1.6,20.5,1.6,23.8,1.6,26.9,1.9,28.7,2.2,,,,,,,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Newfoundland and Labrador,Male,31-50,145,20.4,0.9,11.6,1.2,13.2,1.1,16.1,1,19.9,1,24.1,1.1,28.4,1.3,31,1.5,,,,,,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Newfoundland and Labrador,Female,31-50,167,18.3,0.8,9.4,0.7,11.1,0.7,14.1,0.7,17.7,0.8,21.9,0.9,26.4,1.1,29,1.3,,,,,,,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Newfoundland and Labrador,Male,51-70,182,17.6,0.9,8.9,0.8,10.4,0.8,13.3,0.8,16.9,0.9,21.2,1,25.5,1.2,28.1,1.3,,,,,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Newfoundland and Labrador,Female,51-70,198,19.4,0.8,11.3,0.8,12.8,0.8,15.7,0.7,19.1,0.8,22.8,0.9,26.3,1,28.7,1.1,,,,,,,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Newfoundland and Labrador,Male,71 years and over,63,19.7,0.9,10.1,0.8,11.9,0.8,15.3,0.9,19.2,0.9,23.8,1.1,28.1,1.3,30.8,1.4,,,,,,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Newfoundland and Labrador,Female,71 years and over,74,22.6,0.9,14,0.9,15.5,0.9,18.6,0.9,22.2,1,26.2,1,30,1.2,32.5,1.3,,,,,,,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Newfoundland and Labrador,Male,19 years and over,467,19.7,0.5,10.5,0.5,12.2,0.5,15.3,0.5,19.2,0.5,23.5,0.6,27.8,0.7,30.4,0.8,,,,,,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Newfoundland and Labrador,Female,19 years and over,530,19.6,0.5,11.3,0.5,12.9,0.5,15.7,0.5,19.2,0.5,23.1,0.5,26.9,0.6,29.4,0.7,,,,,,,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Prince Edward Island,Both,1-3,77,24.8,0.9,15.6,1,17.6,1,20.6,0.8,24.6,0.9,28.7,1,32.4,1.2,34.8,1.3,,,,,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Prince Edward Island,Both,4-8,86,26.3,0.7,18.8,0.9,20.3,0.8,23,0.7,26.1,0.7,29.4,0.8,32.4,1,34.3,1.1,,,,,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Prince Edward Island,Male,9-13,72,23.2,0.9,16.7,1,18.1,0.9,20.2,0.9,22.9,0.9,25.9,1,28.5,1.1,30.2,1.3,,,,,,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Prince Edward Island,Female,9-13,79,24.7,1.2,19.1,1.7,20.3,1.6,22.4,1.3,24.6,1.2,27,1.3,29.2,1.6,30.7,1.8,,,,,,,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Prince Edward Island,Male,14-18,57,20.2,0.9,12.3,1,14,0.9,16.6,0.9,20,0.9,23.5,1,26.8,1.1,28.9,1.2,,,,,,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Prince Edward Island,Female,14-18,71,23.4,0.7,17.3,1.5,18.7,1.3,20.7,0.9,23.3,0.7,25.9,1,28.2,1.4,29.7,1.7,,,,,,,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Prince Edward Island,Male,19-30,45,18.4,1.2,10.7,1.2,12,1.2,14.9,1.1,18,1.2,21.6,1.5,25,1.8,27.4,2.1,,,,,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Prince Edward Island,Female,19-30,58,20.5,1.2,13.4,1.5,14.9,1.4,17.3,1.3,20.3,1.2,23.6,1.3,26.5,1.6,28.5,1.9,,,,,,,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Prince Edward Island,Male,31-50,97,18.7,0.9,10.2,1,11.9,0.9,14.7,0.9,18.3,0.9,22.3,1.1,26.3,1.4,28.9,1.6,,,,,,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Prince Edward Island,Female,31-50,116,20.9,0.8,11.2,0.8,13,0.8,16.3,0.8,20.5,0.9,24.9,1,29.4,1.2,32.4,1.3,,,,,,,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Prince Edward Island,Male,51-70,116,18.2,0.7,9.4,0.7,10.8,0.6,13.8,0.6,17.7,0.7,22,0.8,26,1,28.8,1.2,,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Prince Edward Island,Female,51-70,129,19.8,0.7,11.9,0.8,13.4,0.8,16.2,0.7,19.4,0.7,23.1,0.7,26.9,0.9,29,1,,,,,,,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Prince Edward Island,Male,71 years and over,55,19.7,0.7,10,0.7,12.1,0.6,15.3,0.6,19.3,0.7,23.7,0.8,27.8,1,30.6,1.2,,,,,,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Prince Edward Island,Female,71 years and over,68,19.5,0.8,11.5,0.8,13,0.8,15.8,0.8,19.2,0.8,22.9,0.8,26.4,1,28.7,1.1,,,,,,,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Prince Edward Island,Male,19 years and over,313,18.7,0.5,9.9,0.5,11.5,0.4,14.4,0.4,18.2,0.5,22.3,0.5,26.4,0.7,29.1,0.8,,,,,,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2015,Prince Edward Island,Female,19 years and over,371,20.2,0.5,11.8,0.5,13.3,0.5,16.2,0.5,19.8,0.5,23.8,0.5,27.6,0.6,30.2,0.7,,,,,,,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Prince Edward Island,Both,1-3,58,26.3,0.9,16.6,1,18.7,0.9,22.3,0.9,26.1,0.9,30.3,1,34.3,1.2,36.6,1.4,,,,,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Prince Edward Island,Both,4-8,110,26.8,0.7,19,0.9,20.7,0.9,23.4,0.8,26.8,0.8,30.1,0.9,33,1,34.8,1.2,,,,,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of total energy intake from sugars,2004,Prince Edward Island,Male,9-13,95,24.9,0.9,18.4,1,19.8,1,22.1,0.9,24.9,0.9,27.6,1,30.1,1.1,31.9,1.3,,,,,,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
