Nutrient/Item (unit),Year,Reg_Prov,Sex,Age (years),n,Mean,SE_Mean,P5,P5_SE,P10,P10_SE,P25,P25_SE,P50,P50_SE,P75,P75_SE,P90,P90_SE,P95,P95_SE,AI,% >AI,%>AI_SE,p-value_%>AI,UL,% >UL,%>UL_SE,p-value_%>UL,EAR,% <EAR,%<EAR_SE,p-value_%<EAR,AMDR,%<AMDR,%<AMDR_SE,p-value_%<AMDR,%withinAMDR,%withinAMDR_SE,p-value_%withinAMDR,%>AMDR,%>AMDR_SE,p-value_%>AMDR,Male,Female,Both
Sodium (mg/d),2015,Newfoundland and Labrador,Both,1-3,75,1778.5,99.19,1018.92,158.87,1159.45,139.82,1406.09,111.61,1725.25,99.93,2102.61,131.98,2460.87,194.44,2711.95,242.52,1000.0,95.59,2.69,0.05,1500.0,67.7,9.6,< 0.0001,,,,,,,,,,,,,,,,,1778.5
Sodium (mg/d),2015,Newfoundland and Labrador,Both,4-8,76,2428.72,90.51,1846.23,240.13,1968.04,206,2167.68,145.8,2407.04,94.14,2671.3,124.4,2912.75,214.77,3090.54,281.55,1200.0,100,0.26,0.24100000000000002,1900.0,92.9,7.61,0.087,,,,,,,,,,,,,,,,,2428.72
Sodium (mg/d),2015,Newfoundland and Labrador,Male,9-13,73,3184.53,125.6,2018.9,140.54,2226.87,134.69,2620.82,123.09,3100.52,126.3,3666.3,147.79,4217.31,194.95,4626.76,233.59,1500.0,99.61,0.35,0.12,2200.0,90.41,3.51,0.0037,,,,,,,,,,,,,,,3184.53,,
Sodium (mg/d),2015,Newfoundland and Labrador,Female,9-13,71,2828.63,148.21,1815.72,132.82,2010.31,131.6,2364.57,138.89,2784.52,152.58,3239.75,172.08,3692.45,204.81,3998.64,239.72,1500.0,99.13,1.19,0.152,2200.0,83,6.9,0.0096,,,,,,,,,,,,,,,,2828.63,
Sodium (mg/d),2015,Newfoundland and Labrador,Male,14-18,67,3521.08,172.35,2344.1,181.33,2561.67,174.6,2954.54,166.86,3457.8,171.58,4011.57,201.95,4553.29,257.47,4959.31,296.5,1500.0,99.93,0.16,0.19399999999999998,2300.0,95.75,2.77,0.058,,,,,,,,,,,,,,,3521.08,,
Sodium (mg/d),2015,Newfoundland and Labrador,Female,14-18,62,2617.87,109.54,1605.9,114.02,1779.6,112.91,2142.52,107.55,2563.63,109.27,3026.43,125.96,3520.87,154.79,3838.55,179.49,1500.0,97,1.82,0.066,2300.0,65.99,6.32,0.0002,,,,,,,,,,,,,,,,2617.87,
Sodium (mg/d),2015,Newfoundland and Labrador,Male,19-30,35,3440.99,221.02,2244.31,531E,2425.23,469E,2823.23,341.93,3383.83,223.35,3971.52,312.08,4528.4,527.3,4911.67,691.17,1500.0,99.89,0.91,0.28,2300.0,93.42,6.31,0.146,,,,,,,,,,,,,,,3440.99,,
Sodium (mg/d),2015,Newfoundland and Labrador,Female,19-30,51,2092.26,154.51,1373.39,381E,1516.92,322E,1754.02,233.24,2053.85,159.06,2395.62,205.68,2722.7,336.01,2925.78,429.78,1500.0,90.32,7.32,0.08,2300.0,F,,0.198,,,,,,,,,,,,,,,,2092.26,
Sodium (mg/d),2015,Newfoundland and Labrador,Male,31-50,119,3259.09,123.61,1641.7,335E,1930.75,284.8,2454.6,196.91,3139.9,125.54,3949.56,206.19,4747.43,357.32,5304.66,477.69,1500.0,96.74,1.57,0.06,2300.0,79.67,5.86,0.022,,,,,,,,,,,,,,,3259.09,,
Sodium (mg/d),2015,Newfoundland and Labrador,Female,31-50,127,2325.61,124.49,1604.5,174.84,1734.49,161.14,1964.28,146.91,2288.85,125.31,2635.86,142.59,2962.32,200.41,3211.21,233.59,1500.0,97.39,2.49,0.12,2300.0,48.97,11.6E,0.004,,,,,,,,,,,,,,,,2325.61,
Sodium (mg/d),2015,Newfoundland and Labrador,Male,51-70,150,2739.59,139.75,1580.62,289E,1807.06,247.91,2178.52,186.89,2677.72,141.32,3221.94,184.86,3754.48,283.14,4150.25,372.0,1300.0,98.73,1.15,0.124,2300.0,68.82,10.13,0.006,,,,,,,,,,,,,,,2739.59,,
Sodium (mg/d),2015,Newfoundland and Labrador,Female,51-70,161,2185.99,86.19,1266.05,83,1431.15,82.26,1737.82,82.01,2124.85,86.67,2575.04,98.05,3011.87,123.93,3316.88,141.06,1300.0,94.16,2.12,0.004,2300.0,39.38,5.25,< 0.0001,,,,,,,,,,,,,,,,2185.99,
Sodium (mg/d),2015,Newfoundland and Labrador,Male,71 years and over,96,2794.43,146.03,1815.55,140.44,1999.99,138.33,2335.56,137.07,2751.37,144.68,3205.27,166.98,3653.0,203.67,3952.98,230.44,1200.0,99.86,0.21,0.17800000000000002,2300.0,77.33,6.71,0.0279,,,,,,,,,,,,,,,2794.43,,
Sodium (mg/d),2015,Newfoundland and Labrador,Female,71 years and over,87,2195.5,105.66,1300.35,101.67,1475.12,99.67,1771.3,100.83,2146.37,106.64,2565.94,119.26,2974.45,141.06,3276.76,161.95,1200.0,97.11,1.63,0.076,2300.0,39.91,6.9E,0.0236,,,,,,,,,,,,,,,,2195.5,
Sodium (mg/d),2015,Newfoundland and Labrador,Male,19 years and over,400,3016.41,85.55,1626.8,80.17,1874.59,79.08,2319.59,81.34,2894.91,92.86,3596.68,101.5,4314.62,124.27,4764.08,148.72,,,,,2300.0,75.75,3.05,< 0.0001,,,,,,,,,,,,,,,3016.41,,
Sodium (mg/d),2015,Newfoundland and Labrador,Female,19 years and over,426,2240.53,57.54,1396.72,60.97,1555.09,58.46,1835.14,56.04,2188.77,58.51,2589.21,69.32,3001.31,84.26,3266.33,97.5,,,,,2300.0,42.13,4.12,< 0.0001,,,,,,,,,,,,,,,,2240.53,
Sodium (mg/d),2004,Newfoundland and Labrador,Both,1-3,79,2010.04,107.31,1169.98,173.97,1322.04,153.05,1604.19,120.4,1953.08,108.22,2368.65,144.37,2770.63,213.43,3006.32,261.36,1000.0,98.46,1.4,,1500.0,81.21,6.8,,,,,,,,,,,,,,,,,,2010.04
Sodium (mg/d),2004,Newfoundland and Labrador,Both,4-8,127,2757.72,101.52,2101.52,263.82,2234.67,224.5,2467.93,157.39,2726.72,105.05,3026.86,143.33,3321.21,243.62,3495.9,318.1,1200.0,100,0.05,,1900.0,99,3.39,,,,,,,,,,,,,,,,,,2757.72
Sodium (mg/d),2004,Newfoundland and Labrador,Male,9-13,111,3720.87,139.09,2378.48,161.29,2606.99,158.39,3075.63,137.08,3627.42,139.09,4278.18,166.01,4933.26,222.72,5364.96,265.56,1500.0,99.96,0.08,,2200.0,97.43,1.38,,,,,,,,,,,,,,,,3720.87,,
Sodium (mg/d),2004,Newfoundland and Labrador,Female,9-13,96,3146.61,152.52,2087.02,150.16,2287.06,147.94,2658.17,150.3,3096.6,153.09,3574.9,169.11,4066.03,209.32,4367.33,234.15,1500.0,99.84,0.47,,2200.0,92.38,4.49,,,,,,,,,,,,,,,,,3146.61,
Sodium (mg/d),2004,Newfoundland and Labrador,Male,14-18,107,3990.98,195.12,2667.35,213.87,2906.72,208.16,3357.57,195.51,3907.62,199.32,4540.63,224.32,5167.74,280.09,5553.98,331.32,1500.0,99.99,0.03,,2300.0,99.13,1.1,,,,,,,,,,,,,,,,3990.98,,
Sodium (mg/d),2004,Newfoundland and Labrador,Female,14-18,105,2972.71,110.89,1855.3,115.5,2060.96,112.14,2446.09,106.76,2908.95,110.91,3436.89,130.58,3965.2,165.11,4291.29,192.64,1500.0,99.04,0.72,,2300.0,81.56,4.59,,,,,,,,,,,,,,,,,2972.71,
Sodium (mg/d),2004,Newfoundland and Labrador,Male,19-30,77,3820.9,205.44,2469.25,572E,2734.26,480E,3203.58,325.21,3753.0,206.9,4379.01,319.53,4983.99,554.78,5393.18,729.87,1500.0,99.93,0.38,,2300.0,97.16,3.49,,,,,,,,,,,,,,,,3820.9,,
Sodium (mg/d),2004,Newfoundland and Labrador,Female,19-30,91,2411.59,164.53,1633.23,415E,1777.05,357E,2050.96,250.59,2375.58,168.92,2738.17,215.63,3088.35,353.65,3296.45,450.43,1500.0,97.82,2.26,,2300.0,F,,,,,,,,,,,,,,,,,,2411.59,
Sodium (mg/d),2004,Newfoundland and Labrador,Male,31-50,145,3506.04,143.15,1811.26,372E,2098.6,324.51,2651.6,235.01,3365.81,159.2,4212.76,208.49,5089.57,364.5,5635.49,479.33,1500.0,98.27,0.96,,2300.0,85.34,4.67,,,,,,,,,,,,,,,,3506.04,,
Sodium (mg/d),2004,Newfoundland and Labrador,Female,31-50,167,2637.52,132.35,1821.37,200.37,1979.57,180.58,2264.97,147.82,2591.91,136.49,2967.74,157.06,3360.2,203.67,3584.1,255.62,1500.0,99.49,0.98,,2300.0,72.73,9.29,,,,,,,,,,,,,,,,,2637.52,
Sodium (mg/d),2004,Newfoundland and Labrador,Male,51-70,182,2960.03,150.59,1767.37,306E,1979.33,267.42,2381.89,201.64,2874.03,157.41,3457.08,193.36,4041.87,297.52,4408.04,376.59,1300.0,99.59,0.62,,2300.0,78.62,7.68,,,,,,,,,,,,,,,,2960.03,,
Sodium (mg/d),2004,Newfoundland and Labrador,Female,51-70,198,2493.45,97.0,1468.58,95.87,1652.52,94.89,2001.75,91.96,2434.28,95.41,2913.55,111.58,3398.44,137.69,3730.52,156.94,1300.0,98.13,1.04,,2300.0,58.02,5.45,,,,,,,,,,,,,,,,,2493.45,
Sodium (mg/d),2004,Newfoundland and Labrador,Male,71 years and over,63,3001.31,156.24,1963.1,153.59,2159.73,150.76,2521.39,148.13,2940.45,159.73,3438.39,176.26,3906.1,213.56,4208.06,245.09,1200.0,99.95,0.09,,2300.0,84.71,5.51,,,,,,,,,,,,,,,,3001.31,,
Sodium (mg/d),2004,Newfoundland and Labrador,Female,71 years and over,74,2355.2,118.87,1430.84,113.73,1588.17,115.03,1905.84,116.22,2294.55,121.6,2745.11,131.85,3183.77,153.46,3474.45,170.78,1200.0,98.49,1.06,,2300.0,49.74,7.77,,,,,,,,,,,,,,,,,2355.2,
Sodium (mg/d),2004,Newfoundland and Labrador,Male,19 years and over,467,3339.96,91.86,1829.55,91.59,2089.24,92.51,2592.1,89.61,3227.92,93.88,3976.26,103.77,4733.89,127.75,5208.12,155.69,,,,,2300.0,84.37,2.6,,,,,,,,,,,,,,,,3339.96,,
Sodium (mg/d),2004,Newfoundland and Labrador,Female,19 years and over,530,2561.8,63.36,1631.47,70.5,1804.22,67.19,2122.68,62.79,2513.17,63.25,2945.35,74.22,3381.42,92.63,3666.73,106.59,,,,,2300.0,63.68,4.05,,,,,,,,,,,,,,,,,2561.8,
Potassium (mg/d),2015,Newfoundland and Labrador,Both,1-3,75,2034.0,71.0,1182.9,270E,1347.0,223,1629.0,146,1986.0,76,2398.0,132.0,2779.0,242.0,3042.0,323.0,3000.0,F,,,,,,,,,,,,,,,,,,,,,,,2034.0
Potassium (mg/d),2015,Newfoundland and Labrador,Both,4-8,76,2289.0,68.0,1478,75,1640.0,75,1913.0,69,2249.0,68,2629.0,79.0,2984.0,98.0,3249.0,112.0,3800.0,<3,,,,,,,,,,,,,,,,,,,,,,,2289.0
Potassium (mg/d),2015,Newfoundland and Labrador,Male,9-13,73,2839.0,101.0,1768,107,1965.0,104,2334.0,99,2775.0,101,3284.0,116.0,3768.0,147.0,4121.0,170.0,4500.0,F,,,,,,,,,,,,,,,,,,,,,2839.0,,
Potassium (mg/d),2015,Newfoundland and Labrador,Female,9-13,71,2286.0,87.0,1380,93,1550.0,88,1864.0,84,2240.0,88,2654.0,101.0,3069.0,124.0,3352.0,144.0,4500.0,<3,,,,,,,,,,,,,,,,,,,,,,2286.0,
Potassium (mg/d),2015,Newfoundland and Labrador,Male,14-18,67,2926.0,157.0,1575,126,1806.0,130,2241.0,138,2823.0,156,3491.0,186.0,4165.0,235.0,4683.0,271.0,4700.0,F,,,,,,,,,,,,,,,,,,,,,2926.0,,
Potassium (mg/d),2015,Newfoundland and Labrador,Female,14-18,62,2077.0,103.0,1110.6,198E,1274.0,175,1619.0,126,2023.0,103,2469.0,139.0,2946.0,209.0,3252.0,264.0,4700.0,<3,,,,,,,,,,,,,,,,,,,,,,2077.0,
Potassium (mg/d),2015,Newfoundland and Labrador,Male,19-30,35,2679.0,173.0,1643.5,162.2,1794.0,158,2131.0,163,2617.0,170,3138.0,206.0,3642.0,267.0,3994.0,316.0,4700.0,F,,,,,,,,,,,,,,,,,,,,,2679.0,,
Potassium (mg/d),2015,Newfoundland and Labrador,Female,19-30,51,2048.0,155.0,1164.2,263E,1335.2,229E,1623.0,187,1994.0,160,2423.0,183.0,2839.0,257.0,3099.0,315.0,4700.0,<3,,,,,,,,,,,,,,,,,,,,,,2048.0,
Potassium (mg/d),2015,Newfoundland and Labrador,Male,31-50,119,2845.0,122.0,F,,1749.4,459E,2194.0,292,2762.0,129,3419.0,264.0,4053.0,511.0,4490.0,690.0,4700.0,F,,,,,,,,,,,,,,,,,,,,,2845.0,,
Potassium (mg/d),2015,Newfoundland and Labrador,Female,31-50,127,2047.0,91.0,1428,234,1543.0,201,1744.0,147,2022.0,94,2314.0,121.0,2582.0,203.0,2784.0,264.0,4700.0,<3,,,,,,,,,,,,,,,,,,,,,,2047.0,
Potassium (mg/d),2015,Newfoundland and Labrador,Male,51-70,150,2682.0,120.0,1411,102,1652.0,104,2054.0,107,2604.0,120,3212.0,142.0,3814.0,170.0,4264.0,212.0,4700.0,F,,,,,,,,,,,,,,,,,,,,,2682.0,,
Potassium (mg/d),2015,Newfoundland and Labrador,Female,51-70,161,2316.0,78.0,1335,84,1517.0,81,1850.0,78,2262.0,79,2731.0,89.0,3178.0,107.0,3484.0,124.0,4700.0,<3,,,,,,,,,,,,,,,,,,,,,,2316.0,
Potassium (mg/d),2015,Newfoundland and Labrador,Male,71 years and over,96,2726.0,124.0,1566,107,1777.0,108,2169.0,112,2664.0,123,3215.0,143.0,3766.0,173.0,4140.0,191.0,4700.0,F,,,,,,,,,,,,,,,,,,,,,2726.0,,
Potassium (mg/d),2015,Newfoundland and Labrador,Female,71 years and over,87,2327.0,106.0,1301,85,1499.0,87,1838.0,95,2269.0,107,2752.0,121.0,3224.0,141.0,3574.0,157.0,4700.0,<3,,,,,,,,,,,,,,,,,,,,,,2327.0,
Potassium (mg/d),2015,Newfoundland and Labrador,Male,19 years and over,400,2742.0,75.0,1507,65,1733.0,66,2135.0,69,2646.0,80,3259.0,86.0,3876.0,100.0,4258.0,115.0,4700.0,2.0831225443,0.6E,1.01281850055991e-14,,,,,,,,,,,,,,,,,,,2742.0,,
Potassium (mg/d),2015,Newfoundland and Labrador,Female,19 years and over,426,2180.0,56.0,1294,71,1463.0,66,1759.0,60,2131.0,58,2547.0,66.0,2971.0,80.0,3242.0,94.0,4700.0,<3,,,,,,,,,,,,,,,,,,,,,,2180.0,
Potassium (mg/d),2004,Newfoundland and Labrador,Both,1-3,79,2304.0,76.0,1372.1,296E,1548.0,246,1867.0,157,2253.0,83,2701.0,144.0,3123.0,266.0,3367.0,341.0,3000.0,F,,,,,,,,,,,,,,,,,,,,,,,2304.0
Potassium (mg/d),2004,Newfoundland and Labrador,Both,4-8,127,2577.0,70.0,1679,71,1853.0,69,2167.0,68,2524.0,72,2948.0,81.0,3372.0,104.0,3627.0,120.0,3800.0,F,,,,,,,,,,,,,,,,,,,,,,,2577.0
Potassium (mg/d),2004,Newfoundland and Labrador,Male,9-13,111,3382.0,118.0,2156,125,2373.0,123,2810.0,115,3313.0,117,3892.0,135.0,4460.0,169.0,4826.0,199.0,4500.0,9.1448657313,2.9E,,,,,,,,,,,,,,,,,,,,3382.0,,
Potassium (mg/d),2004,Newfoundland and Labrador,Female,9-13,96,2613.0,88.0,1647,91,1826.0,88,2162.0,84,2563.0,89,3005.0,107.0,3463.0,130.0,3745.0,152.0,4500.0,<3,,,,,,,,,,,,,,,,,,,,,,2613.0,
Potassium (mg/d),2004,Newfoundland and Labrador,Male,14-18,107,3384.0,180.0,1849,153,2108.0,158,2613.0,162,3255.0,181,4024.0,210.0,4810.0,262.0,5304.0,313.0,4700.0,11.4811513853,3.8E,,,,,,,,,,,,,,,,,,,,3384.0,,
Potassium (mg/d),2004,Newfoundland and Labrador,Female,14-18,105,2394.0,106.0,1328,215,1522.0,186,1888.0,135,2332.0,108,2838.0,146.0,3345.0,226.0,3656.0,282.0,4700.0,<3,,,,,,,,,,,,,,,,,,,,,,2394.0,
Potassium (mg/d),2004,Newfoundland and Labrador,Male,19-30,77,3109.0,180.0,1897,175,2127.0,169,2540.0,164,3035.0,178,3610.0,217.0,4177.0,279.0,4565.0,327.0,4700.0,F,,,,,,,,,,,,,,,,,,,,,3109.0,,
Potassium (mg/d),2004,Newfoundland and Labrador,Female,19-30,91,2297.0,166.0,1361.1,279E,1529.0,251,1854.0,200,2246.0,170,2691.0,191.0,3125.0,263.0,3385.0,321.0,4700.0,<3,,,,,,,,,,,,,,,,,,,,,,2297.0,
Potassium (mg/d),2004,Newfoundland and Labrador,Male,31-50,145,3241.0,149.0,F,,2044.5,525E,2530.0,345,3141.0,168,3847.0,273.0,4562.0,542.0,5000.0,721.0,4700.0,F,,,,,,,,,,,,,,,,,,,,,3241.0,,
Potassium (mg/d),2004,Newfoundland and Labrador,Female,31-50,167,2428.0,100.0,1716,259,1859.0,218,2113.0,151,2397.0,103,2716.0,140.0,3042.0,233.0,3225.0,299.0,4700.0,<3,,,,,,,,,,,,,,,,,,,,,,2428.0,
Potassium (mg/d),2004,Newfoundland and Labrador,Male,51-70,182,3007.0,131.0,1666,116,1898.0,119,2346.0,124,2901.0,136,3566.0,152.0,4240.0,178.0,4665.0,201.0,4700.0,F,,,,,,,,,,,,,,,,,,,,,3007.0,,
Potassium (mg/d),2004,Newfoundland and Labrador,Female,51-70,198,2631.0,87.0,1554,94,1754.0,91,2127.0,85,2581.0,87,3073.0,101.0,3560.0,123.0,3889.0,143.0,4700.0,<3,,,,,,,,,,,,,,,,,,,,,,2631.0,
Potassium (mg/d),2004,Newfoundland and Labrador,Male,71 years and over,63,3093.0,152.0,1820,132,2054.0,133,2492.0,136,3008.0,158,3631.0,171.0,4224.0,203.0,4610.0,230.0,4700.0,F,,,,,,,,,,,,,,,,,,,,,3093.0,,
Potassium (mg/d),2004,Newfoundland and Labrador,Female,71 years and over,74,2696.0,122.0,1583,100,1772.0,105,2155.0,113,2623.0,124,3166.0,139.0,3693.0,160.0,4042.0,175.0,4700.0,<3,,,,,,,,,,,,,,,,,,,,,,2696.0,
Potassium (mg/d),2004,Newfoundland and Labrador,Male,19 years and over,467,3160.0,85.0,1788,75,2031.0,77,2496.0,79,3072.0,86,3738.0,96.0,4400.0,112.0,4809.0,129.0,4700.0,6.0537405849,1.3E,,,,,,,,,,,,,,,,,,,,3160.0,,
Potassium (mg/d),2004,Newfoundland and Labrador,Female,19 years and over,530,2530.0,60.0,1556,77,1740.0,71,2076.0,63,2485.0,61,2932.0,71.0,3377.0,90.0,3666.0,105.0,4700.0,<3,,,,,,,,,,,,,,,,,,,,,,2530.0,
Percentage of total energy intake from saturated fats ,2015,Newfoundland and Labrador,Both,1-3,75,11.68,0.46,6.85,0.48,7.85,0.47,9.52,0.46,11.53,0.48,13.72,0.51,15.66,0.58,16.96,0.62,,,,,,,,,,,,,,,,,,,,,,,,,11.68
Percentage of total energy intake from saturated fats ,2015,Newfoundland and Labrador,Both,4-8,76,10.42,0.31,8.16,0.37,8.66,0.35,9.45,0.31,10.37,0.31,11.36,0.36,12.24,0.45,12.88,0.5,,,,,,,,,,,,,,,,,,,,,,,,,10.42
Percentage of total energy intake from saturated fats ,2015,Newfoundland and Labrador,Male,9-13,73,10.53,0.29,7.63,0.36,8.2,0.33,9.24,0.3,10.42,0.29,11.73,0.33,12.94,0.4,13.8,0.47,,,,,,,,,,,,,,,,,,,,,,,10.53,,
Percentage of total energy intake from saturated fats ,2015,Newfoundland and Labrador,Female,9-13,71,10.89,0.33,8.2,0.45,8.77,0.4,9.75,0.34,10.85,0.33,11.98,0.38,13.04,0.48,13.74,0.57,,,,,,,,,,,,,,,,,,,,,,,,10.89,
Percentage of total energy intake from saturated fats ,2015,Newfoundland and Labrador,Male,14-18,67,9.85,0.32,7.81,0.52,8.23,0.46,8.95,0.38,9.81,0.33,10.7,0.37,11.51,0.48,12.09,0.57,,,,,,,,,,,,,,,,,,,,,,,9.85,,
Percentage of total energy intake from saturated fats ,2015,Newfoundland and Labrador,Female,14-18,62,10.72,0.35,7.46,0.38,8.07,0.37,9.28,0.34,10.63,0.35,12.04,0.41,13.49,0.48,14.39,0.54,,,,,,,,,,,,,,,,,,,,,,,,10.72,
Percentage of total energy intake from saturated fats ,2015,Newfoundland and Labrador,Male,19-30,35,10.85,0.59,7.36,0.63,7.92,0.63,9.11,0.61,10.74,0.59,12.39,0.68,13.92,0.85,14.95,1.0,,,,,,,,,,,,,,,,,,,,,,,10.85,,
Percentage of total energy intake from saturated fats ,2015,Newfoundland and Labrador,Female,19-30,51,9.81,0.63,7.49,0.86,7.99,0.77,8.79,0.67,9.75,0.63,10.79,0.71,11.74,0.89,12.32,1.03,,,,,,,,,,,,,,,,,,,,,,,,9.81,
Percentage of total energy intake from saturated fats ,2015,Newfoundland and Labrador,Male,31-50,119,10.8,0.4,7.11,0.39,7.84,0.39,9.1,0.38,10.64,0.4,12.36,0.47,13.98,0.54,15.07,0.64,,,,,,,,,,,,,,,,,,,,,,,10.8,,
Percentage of total energy intake from saturated fats ,2015,Newfoundland and Labrador,Female,31-50,127,11.11,0.36,8.19,0.61,8.75,0.54,9.71,0.45,11.02,0.37,12.37,0.41,13.59,0.56,14.49,0.68,,,,,,,,,,,,,,,,,,,,,,,,11.11,
Percentage of total energy intake from saturated fats ,2015,Newfoundland and Labrador,Male,51-70,150,9.66,0.3,6.26,0.37,6.97,0.33,8.1,0.32,9.55,0.3,11.06,0.34,12.49,0.41,13.51,0.49,,,,,,,,,,,,,,,,,,,,,,,9.66,,
Percentage of total energy intake from saturated fats ,2015,Newfoundland and Labrador,Female,51-70,161,9.77,0.33,6.14,0.37,6.85,0.36,8.1,0.34,9.62,0.34,11.3,0.37,12.85,0.45,13.91,0.51,,,,,,,,,,,,,,,,,,,,,,,,9.77,
Percentage of total energy intake from saturated fats ,2015,Newfoundland and Labrador,Male,71 years and over,96,9.61,0.4,6.09,0.4,6.78,0.39,8.01,0.38,9.5,0.4,11.08,0.45,12.61,0.52,13.6,0.58,,,,,,,,,,,,,,,,,,,,,,,9.61,,
Percentage of total energy intake from saturated fats ,2015,Newfoundland and Labrador,Female,71 years and over,87,10.11,0.4,6.43,0.42,7.18,0.4,8.43,0.39,9.96,0.41,11.63,0.48,13.22,0.57,14.38,0.7,,,,,,,,,,,,,,,,,,,,,,,,10.11,
Percentage of total energy intake from saturated fats ,2015,Newfoundland and Labrador,Male,19 years and over,400,10.22,0.18,6.66,0.21,7.37,0.2,8.57,0.18,10.03,0.17,11.7,0.2,13.31,0.27,14.28,0.31,,,,,,,,,,,,,,,,,,,,,,,10.22,,
Percentage of total energy intake from saturated fats ,2015,Newfoundland and Labrador,Female,19 years and over,426,10.29,0.22,7.07,0.26,7.71,0.25,8.82,0.23,10.16,0.22,11.62,0.24,13.06,0.28,13.96,0.32,,,,,,,,,,,,,,,,,,,,,,,,10.29,
Percentage of total energy intake from saturated fats ,2004,Newfoundland and Labrador,Both,1-3,79,11.14,0.48,6.28,0.55,7.26,0.53,8.98,0.51,10.98,0.51,13.2,0.5,15.21,0.56,16.33,0.62,,,,,,,,,,,,,,,,,,,,,,,,,11.14
Percentage of total energy intake from saturated fats ,2004,Newfoundland and Labrador,Both,4-8,127,10.65,0.31,8.31,0.39,8.81,0.35,9.65,0.31,10.57,0.32,11.61,0.36,12.59,0.43,13.17,0.49,,,,,,,,,,,,,,,,,,,,,,,,,10.65
Percentage of total energy intake from saturated fats ,2004,Newfoundland and Labrador,Male,9-13,111,10.34,0.29,7.43,0.36,7.98,0.35,9.04,0.3,10.22,0.3,11.54,0.33,12.8,0.41,13.6,0.47,,,,,,,,,,,,,,,,,,,,,,,10.34,,
Percentage of total energy intake from saturated fats ,2004,Newfoundland and Labrador,Female,9-13,96,10.67,0.3,8.09,0.44,8.62,0.4,9.55,0.34,10.61,0.3,11.7,0.33,12.78,0.42,13.42,0.49,,,,,,,,,,,,,,,,,,,,,,,,10.67,
Percentage of total energy intake from saturated fats ,2004,Newfoundland and Labrador,Male,14-18,107,9.58,0.31,7.53,0.53,7.94,0.47,8.68,0.37,9.52,0.32,10.43,0.35,11.27,0.46,11.77,0.55,,,,,,,,,,,,,,,,,,,,,,,9.58,,
Percentage of total energy intake from saturated fats ,2004,Newfoundland and Labrador,Female,14-18,105,9.74,0.34,6.63,0.39,7.24,0.37,8.34,0.35,9.63,0.34,11.04,0.36,12.4,0.43,13.22,0.49,,,,,,,,,,,,,,,,,,,,,,,,9.74,
Percentage of total energy intake from saturated fats ,2004,Newfoundland and Labrador,Male,19-30,77,9.93,0.53,6.44,0.69,7.15,0.63,8.38,0.57,9.79,0.54,11.36,0.58,12.85,0.69,13.84,0.8,,,,,,,,,,,,,,,,,,,,,,,9.93,,
Percentage of total energy intake from saturated fats ,2004,Newfoundland and Labrador,Female,19-30,91,9.1,0.62,6.9,0.83,7.34,0.76,8.14,0.65,9.05,0.62,10.02,0.69,10.94,0.85,11.46,1.0,,,,,,,,,,,,,,,,,,,,,,,,9.1,
Percentage of total energy intake from saturated fats ,2004,Newfoundland and Labrador,Male,31-50,145,10.71,0.36,7.05,0.38,7.73,0.36,8.98,0.34,10.51,0.35,12.22,0.42,13.92,0.52,14.94,0.59,,,,,,,,,,,,,,,,,,,,,,,10.71,,
Percentage of total energy intake from saturated fats ,2004,Newfoundland and Labrador,Female,31-50,167,10.94,0.36,7.96,0.62,8.57,0.55,9.64,0.44,10.83,0.37,12.15,0.41,13.48,0.55,14.21,0.67,,,,,,,,,,,,,,,,,,,,,,,,10.94,
Percentage of total energy intake from saturated fats ,2004,Newfoundland and Labrador,Male,51-70,182,9.39,0.33,6.12,0.36,6.74,0.35,7.88,0.34,9.22,0.35,10.74,0.37,12.22,0.42,13.12,0.47,,,,,,,,,,,,,,,,,,,,,,,9.39,,
Percentage of total energy intake from saturated fats ,2004,Newfoundland and Labrador,Female,51-70,198,9.34,0.33,5.75,0.37,6.43,0.36,7.7,0.34,9.2,0.34,10.81,0.37,12.37,0.44,13.41,0.5,,,,,,,,,,,,,,,,,,,,,,,,9.34,
Percentage of total energy intake from saturated fats ,2004,Newfoundland and Labrador,Male,71 years and over,63,9.01,0.4,5.57,0.41,6.24,0.4,7.46,0.39,8.85,0.41,10.46,0.44,11.95,0.51,12.89,0.57,,,,,,,,,,,,,,,,,,,,,,,9.01,,
Percentage of total energy intake from saturated fats ,2004,Newfoundland and Labrador,Female,71 years and over,74,9.25,0.42,5.82,0.45,6.42,0.45,7.62,0.43,9.06,0.43,10.69,0.46,12.25,0.55,13.27,0.63,,,,,,,,,,,,,,,,,,,,,,,,9.25,
Percentage of total energy intake from saturated fats ,2004,Newfoundland and Labrador,Male,19 years and over,467,9.95,0.17,6.41,0.22,7.08,0.2,8.32,0.18,9.8,0.17,11.44,0.2,13.02,0.25,13.97,0.28,,,,,,,,,,,,,,,,,,,,,,,9.95,,
Percentage of total energy intake from saturated fats ,2004,Newfoundland and Labrador,Female,19 years and over,530,9.89,0.22,6.73,0.27,7.35,0.25,8.46,0.23,9.78,0.22,11.19,0.25,12.57,0.29,13.45,0.32,,,,,,,,,,,,,,,,,,,,,,,,9.89,
